Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2006,7974.0,42.058143307378565,2,3080,916.6245885659168,42.058143307378565,
2007,4677.0,25.377624443826473,0,1656,464.2763920143024,25.377624443826473,-41.34687735139202
2008,4884.0,26.38650004634779,0,1791,619.8589282321349,26.38650004634779,4.425914047466328
2009,4322.0,22.762380654430853,3,1361,427.8827012869369,22.762380654430853,-11.50696150696151
2010,2961.0,15.583808398220244,0,642,232.79453484681608,15.583808398220244,-31.49005090236002
2011,4676.0,24.69149749721913,0,1600,502.5084953299674,24.69149749721913,57.91962174940899
2012,4450.0,23.64791319058213,9,1161,342.37189597207765,23.64791319058213,-4.833190761334471
2013,6240.0,33.52691648127549,3,1943,639.4408068418417,33.52691648127549,40.2247191011236
2014,5584.0,29.82771366332962,0,1080,387.3096795573122,29.82771366332962,-10.51282051282051
2015,4896.0,25.882386679644053,0,1278,365.5222913237241,25.882386679644053,-12.320916905444124
2016,7259.0,38.29741958657768,15,2272,677.7003170258737,38.29741958657768,48.263888888888886
2017,4894.0,25.775833101594362,1,1489,500.1048677906253,25.775833101594362,-32.58024521283923
2018,5162.0,27.239664441972565,4,1473,442.2563701855486,27.239664441972565,5.476093175316721
2019,8548.0,45.868789395624766,1,3114,997.5488444029681,45.868789395624766,65.59473072452538
2020,6536.0,34.5878870040786,17,1835,650.832101422805,34.5878870040786,-23.537669630322878
2021,4577.0,24.32934742306266,19,989,348.5469730527615,24.32934742306266,-29.972460220318244
2022,8314.0,45.05741912309974,0,3126,944.5008141228824,45.05741912309974,81.64736727113831
2023,2865.0,15.37436851130886,10,1325,355.80692542700484,15.37436851130886,-65.54005292278084
2024,4473.0,24.010405079718208,6,1121,445.99635648735966,24.010405079718208,56.125654450261784
2025,4101.0,21.782095847237674,0,1582,452.80542178732793,21.782095847237674,-8.316566063044938
2026,5752.0,30.670183305524656,0,1327,450.0420855740925,30.670183305524656,40.258473543038285
2027,8106.0,43.5994623655914,2,1769,707.0601748854838,43.5994623655914,40.92489568845619
2028,3675.0,19.403654523544684,0,839,271.91179218134823,19.403654523544684,-54.663212435233156
2029,3670.0,19.490278550241012,0,1062,349.1998212363734,19.490278550241012,-0.1360544217687054
2030,6567.0,35.14556683351872,0,1313,530.0437589139564,35.14556683351872,78.93732970027247
2031,5801.0,30.726154060066737,17,1126,391.99222124316645,30.726154060066737,-11.66438251865387
2032,6781.0,35.96459607897664,0,2014,636.5212927000998,35.96459607897664,16.893639027753828
2033,6157.0,33.389443131256954,3,1851,602.7956774794249,33.389443131256954,-9.202182568942629
2034,4079.0,21.893718715239157,2,999,340.2983873371169,21.893718715239157,-33.750203020951766
2035,3693.0,19.6854375231739,4,773,272.5943122864252,19.6854375231739,-9.463103701887722
2036,5154.0,27.10705181683352,0,1270,447.6294124709534,27.10705181683352,39.56133225020309
